,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Teguldet,92,RU,1536898398,97,57.31,88.17,48.61,10.54
376,Lillooet,90,CA,1536897600,76,50.69,-121.94,48.2,8.05
377,Champerico,90,MX,1536894000,94,16.38,-93.6,69.8,3.36
378,Barra do Garcas,75,BR,1536894000,65,-15.89,-52.26,80.6,2.24
379,Tulsipur,0,IN,1536898399,100,27.53,82.41,78.76,4.72
380,Grand Gaube,75,MU,1536894000,68,-20.01,57.66,71.6,8.05
381,Kyabe,24,TD,1536898130,95,9.45,18.94,69.31,2.93
382,Kashan,0,IR,1536898400,38,33.99,51.44,65.8,3.38
383,Fare,92,PF,1536898400,99,-16.7,-151.02,79.84,10.31
384,Matay,0,EG,1536898401,62,28.42,30.79,71.11,9.86
385,Las Choapas,75,MX,1536893820,74,17.91,-94.09,80.6,11.41
386,Aswan,0,EG,1536894000,30,24.09,32.9,80.6,5.82
387,Soe,76,EE,1536897000,81,57.91,26.05,51.8,10.29
388,Paranhos,64,PY,1536898402,69,-23.89,-55.43,70.75,6.51
389,Bureya,0,RU,1536898402,72,49.81,129.81,65.08,5.61
390,Jutai,0,BR,1536898402,88,-1.71,-47.89,74.53,5.17
391,Ebebiyin,76,GQ,1536898402,97,2.15,11.34,69.31,2.59
392,Royan,0,FR,1536897600,82,45.62,-1.03,62.6,3.36
393,Abu Samrah,0,SY,1536898403,92,35.3,37.18,67.24,9.42
394,Indianola,1,US,1536897180,70,40.24,-100.42,75.02,9.17
395,Athabasca,36,CA,1536898403,83,54.72,-113.29,28.72,2.93
396,Latung,0,ID,1536898404,43,-8.45,120.42,84.79,2.26
397,Ostrovnoy,92,RU,1536898404,100,68.05,39.51,45.19,4.16
398,Eldorado,40,MX,1536893220,79,24.32,-107.36,86.0,5.82
399,Faanui,20,PF,1536898405,100,-16.48,-151.75,80.2,11.43
400,Bilma,0,NE,1536898405,41,18.69,12.92,68.23,3.27
401,Amahai,48,ID,1536898406,100,-3.31,129.0,77.77,7.52
402,Palmas Bellas,40,PA,1536894000,100,9.23,-80.09,77.0,2.24
403,Takoradi,92,GH,1536898406,99,4.89,-1.75,75.61,7.4
404,Saint-Pierre,90,FR,1536897600,87,48.95,4.24,58.19,8.05
405,Mulege,0,MX,1536898278,57,26.88,-111.98,83.08,0.69
406,Yantzaza,32,EC,1536898407,80,-3.83,-78.76,64.27,2.93
407,Udachnyy,0,RU,1536898407,64,66.42,112.4,43.48,3.38
408,Qaqortoq,92,GL,1536897000,86,60.72,-46.03,37.4,1.12
409,Shahrud,12,IR,1536898408,93,36.42,54.97,46.36,2.59
410,Salalah,90,OM,1536893400,83,17.01,54.1,77.0,4.7
411,Vestmanna,80,FO,1536897000,87,62.16,-7.17,44.6,2.24
412,Tarko-Sale,92,RU,1536898409,99,64.92,77.78,46.81,16.24
413,Coracora,0,PE,1536898409,70,-15.02,-73.78,26.38,2.37
414,Djougou,20,BJ,1536894000,100,9.71,1.67,71.6,2.24
415,Eresos,0,GR,1536897000,77,39.17,25.93,69.8,12.21
416,Plakhtiyivka,92,UA,1536898410,92,46.1,29.72,63.46,7.63
417,Alekseyevka,40,RU,1536895800,87,53.25,50.49,59.0,2.24
418,Lazaro Cardenas,5,MX,1536892800,49,28.39,-105.62,68.0,4.7
419,Buala,92,SB,1536898411,100,-8.15,159.59,79.03,11.77
420,Kudahuvadhoo,32,MV,1536898411,100,2.67,72.89,79.66,9.75
421,Bani Walid,0,LY,1536898411,83,31.76,14.0,64.99,2.82
422,Labuhan,8,ID,1536898412,60,-2.54,115.51,86.14,3.6
423,Egvekinot,92,RU,1536898412,100,66.32,-179.17,46.09,2.93
424,Douentza,8,ML,1536898413,87,15.01,-2.95,69.4,2.59
425,Dunedin,0,NZ,1536898145,68,-45.87,170.5,60.67,2.59
426,Soria,0,ES,1536898413,87,41.76,-2.46,46.45,2.59
427,Okitipupa,92,NG,1536898413,98,6.5,4.78,74.71,2.48
428,Ardakan,0,IR,1536894000,28,32.31,54.02,73.4,4.7
429,Khani,0,GE,1536895800,54,41.96,42.96,78.8,27.51
430,Kormilovka,75,RU,1536894000,41,55.0,74.1,59.0,17.9
431,Portobelo,40,PA,1536894000,100,9.55,-79.65,77.0,2.24
432,Omsukchan,64,RU,1536898415,55,62.53,155.8,40.06,8.97
433,Vestmannaeyjar,56,IS,1536898415,99,63.44,-20.27,44.83,11.43
434,Ibresi,44,RU,1536898415,84,55.3,47.04,48.79,4.83
435,Saint Anthony,1,US,1536893760,7,43.97,-111.68,55.54,8.52
436,Pochutla,80,MX,1536898416,100,15.74,-96.47,81.55,0.69
437,Tete,0,MZ,1536898416,84,-16.16,33.59,62.65,3.71
438,Muravlenko,80,RU,1536898416,100,63.79,74.5,50.14,4.94
439,Monroe,90,US,1536897180,96,41.91,-83.4,66.87,6.29
440,Kapit,0,MY,1536898417,65,2.02,112.94,86.68,2.37
441,Boa Vista,20,BR,1536897600,83,2.82,-60.67,78.8,1.12
442,Hailar,56,CN,1536898418,69,49.2,119.7,64.18,10.31
443,Garowe,20,SO,1536898419,56,8.41,48.48,78.13,16.8
444,Ankpa,76,NG,1536898419,98,7.37,7.63,73.36,4.16
445,Cap Malheureux,75,MU,1536894000,68,-19.98,57.61,71.6,8.05
446,Bud,90,NO,1536897000,76,62.91,6.91,49.39,11.41
447,Oktyabrskiy,0,RU,1536895800,87,55.61,37.97,46.4,2.24
448,Ravar,0,IR,1536898420,37,31.27,56.81,58.87,2.37
449,San Rafael,0,AR,1536898333,86,-34.61,-68.33,50.86,6.51
450,Maceio,75,BR,1536897600,82,-9.67,-35.74,68.0,3.36
451,Novopavlovka,20,RU,1536898421,67,51.21,109.22,39.34,7.07
452,Togur,92,RU,1536898363,94,58.36,82.83,51.58,13.44
453,Nizhniy Kuranakh,92,RU,1536898422,100,58.84,125.49,42.22,3.38
454,Saint-Augustin,90,FR,1536897600,100,44.83,-0.61,59.0,2.24
455,Tuatapere,0,NZ,1536898422,77,-46.13,167.69,56.08,15.79
456,Lasa,20,CY,1536897600,65,34.92,32.53,73.0,8.05
457,Lagos,20,NG,1536894000,88,6.46,3.39,75.2,2.24
458,Warsaw,40,PL,1536897600,93,52.23,21.01,57.2,6.93
459,Pochinok,76,RU,1536898426,86,54.4,32.44,48.43,2.82
460,Bukama,20,CD,1536898427,93,-9.2,25.85,65.44,1.14
461,Pisco,90,PE,1536894000,87,-13.71,-76.2,60.8,11.41
462,Priekule,88,LV,1536897000,67,56.45,21.6,59.0,5.82
463,High Level,75,CA,1536897600,92,58.52,-117.13,28.4,2.37
464,San Policarpo,92,PH,1536898431,97,12.18,125.51,80.56,26.08
465,Bartlett,1,US,1536897180,84,41.89,-98.55,73.85,5.82
466,Khatima,80,IN,1536898431,100,28.92,79.97,75.43,4.38
467,Esil,8,KZ,1536898431,42,51.96,66.41,57.43,19.48
468,Gorontalo,12,ID,1536898432,52,0.54,123.06,85.51,7.29
469,Soyo,92,AO,1536898432,91,-6.13,12.37,71.29,3.6
470,Kungurtug,0,RU,1536898432,46,50.6,97.53,34.84,2.82
471,Westport,92,IE,1536898433,100,53.8,-9.52,52.75,15.46
472,Araguaina,12,BR,1536898436,78,-7.19,-48.21,74.62,4.27
473,Rabak,12,SD,1536898436,86,13.18,32.74,74.8,2.93
474,Suntar,0,RU,1536898436,58,62.16,117.65,46.63,3.71
475,Cuamba,0,MZ,1536898437,83,-14.8,36.54,59.59,2.59
476,Peyima,92,SL,1536898437,99,8.69,-11.04,67.33,4.94
477,Zhanakorgan,0,KZ,1536898437,35,43.91,67.25,56.98,11.43
478,Pa Sang,75,TH,1536897600,70,18.53,98.94,88.95,3.27
479,Lokoja,20,NG,1536898438,98,7.8,6.74,70.12,2.82
480,Bowen,0,AU,1536894000,39,-20.01,148.25,78.8,14.99
481,Woodward,1,US,1536897300,69,36.43,-99.39,73.4,14.99
482,Vila Franca do Campo,20,PT,1536895800,77,37.72,-25.43,69.8,5.82
483,Hellevoetsluis,0,NL,1536897300,100,51.83,4.14,50.9,4.7
484,Debre Tabor,8,ET,1536898439,91,11.86,38.01,52.48,3.6
485,Obigarm,92,TJ,1536898439,98,38.72,69.71,33.58,1.25
486,Mundra,88,IN,1536898440,92,22.84,69.73,78.67,14.0
487,Iquitos,75,PE,1536894000,83,-3.75,-73.25,78.8,3.36
488,Chokurdakh,88,RU,1536898441,96,70.62,147.9,39.43,14.0
489,Tautira,75,PF,1536895800,69,-17.73,-149.15,80.6,8.05
490,Lagoa,0,PT,1536895800,94,37.14,-8.45,68.0,2.24
491,Dongsheng,20,CN,1536898442,74,29.72,112.52,85.42,6.62
492,Yazd,0,IR,1536894000,28,31.89,54.36,73.4,4.7
493,Siva,20,GR,1536897000,88,35.21,25.04,66.2,6.93
494,Half Moon Bay,90,US,1536897180,87,37.46,-122.43,61.77,8.05
495,Quatre Cocos,75,MU,1536894000,68,-20.21,57.76,71.6,8.05
496,Mae Hong Son,75,MM,1536897600,78,19.3,97.96,80.6,4.7
497,Marsa Matruh,0,EG,1536894000,78,31.35,27.25,71.6,4.7
498,Russell,0,AR,1536897600,76,-33.01,-68.8,51.8,2.24
